Entity,Code,Day,Daily hospital occupancy
United Kingdom,GBR,2020-04-01,13431
United Kingdom,GBR,2020-04-02,13650
United Kingdom,GBR,2020-04-03,15327
United Kingdom,GBR,2020-04-04,17269
United Kingdom,GBR,2020-04-05,18619
United Kingdom,GBR,2020-04-06,19252
United Kingdom,GBR,2020-04-07,20000
United Kingdom,GBR,2020-04-08,20512
United Kingdom,GBR,2020-04-09,20795
United Kingdom,GBR,2020-04-10,21092
United Kingdom,GBR,2020-04-11,21075
United Kingdom,GBR,2020-04-12,21516
United Kingdom,GBR,2020-04-13,21144
United Kingdom,GBR,2020-04-14,21125
United Kingdom,GBR,2020-04-15,20440
United Kingdom,GBR,2020-04-16,20250
United Kingdom,GBR,2020-04-17,19188
United Kingdom,GBR,2020-04-18,19318
United Kingdom,GBR,2020-04-19,19428
United Kingdom,GBR,2020-04-20,19185
United Kingdom,GBR,2020-04-21,18992
United Kingdom,GBR,2020-04-22,18383
United Kingdom,GBR,2020-04-23,17719
United Kingdom,GBR,2020-04-24,16916
United Kingdom,GBR,2020-04-25,16458
United Kingdom,GBR,2020-04-26,16410
United Kingdom,GBR,2020-04-27,16524
United Kingdom,GBR,2020-04-28,15746
United Kingdom,GBR,2020-04-29,15392
United Kingdom,GBR,2020-04-30,15031
United Kingdom,GBR,2020-05-01,14591
United Kingdom,GBR,2020-05-02,14244
United Kingdom,GBR,2020-05-03,14057
United Kingdom,GBR,2020-05-04,13962
United Kingdom,GBR,2020-05-05,13594
United Kingdom,GBR,2020-05-06,13019
United Kingdom,GBR,2020-05-07,12501
United Kingdom,GBR,2020-05-08,11933
United Kingdom,GBR,2020-05-09,11887
United Kingdom,GBR,2020-05-10,11595
United Kingdom,GBR,2020-05-11,11832
United Kingdom,GBR,2020-05-12,11457
United Kingdom,GBR,2020-05-13,11213
United Kingdom,GBR,2020-05-14,10804
United Kingdom,GBR,2020-05-15,10577
United Kingdom,GBR,2020-05-16,10126
United Kingdom,GBR,2020-05-17,10088
United Kingdom,GBR,2020-05-18,10126
United Kingdom,GBR,2020-05-19,9908
United Kingdom,GBR,2020-05-20,9468
United Kingdom,GBR,2020-05-21,9199
United Kingdom,GBR,2020-05-22,9096
United Kingdom,GBR,2020-05-23,8725
United Kingdom,GBR,2020-05-24,8725
United Kingdom,GBR,2020-05-25,8744
United Kingdom,GBR,2020-05-26,8641
United Kingdom,GBR,2020-05-27,8131
United Kingdom,GBR,2020-05-28,7819
United Kingdom,GBR,2020-05-29,7504
United Kingdom,GBR,2020-05-30,7184
United Kingdom,GBR,2020-05-31,7154
United Kingdom,GBR,2020-06-01,7171
United Kingdom,GBR,2020-06-02,7014
United Kingdom,GBR,2020-06-03,6750
United Kingdom,GBR,2020-06-04,6525
United Kingdom,GBR,2020-06-05,6325
United Kingdom,GBR,2020-06-06,6097
United Kingdom,GBR,2020-06-07,5892
United Kingdom,GBR,2020-06-08,5879
United Kingdom,GBR,2020-06-09,5684
United Kingdom,GBR,2020-06-10,5423
United Kingdom,GBR,2020-06-11,5132
United Kingdom,GBR,2020-06-12,5045
United Kingdom,GBR,2020-06-13,4898
United Kingdom,GBR,2020-06-14,4866
United Kingdom,GBR,2020-06-15,4829
United Kingdom,GBR,2020-06-16,4825
United Kingdom,GBR,2020-06-17,4687
United Kingdom,GBR,2020-06-18,4530
United Kingdom,GBR,2020-06-19,4389
United Kingdom,GBR,2020-06-20,4225
United Kingdom,GBR,2020-06-21,4192
United Kingdom,GBR,2020-06-22,4251
United Kingdom,GBR,2020-06-23,4103
United Kingdom,GBR,2020-06-24,4003
United Kingdom,GBR,2020-06-25,3820
United Kingdom,GBR,2020-06-26,3596
United Kingdom,GBR,2020-06-27,3523
United Kingdom,GBR,2020-06-28,3535
United Kingdom,GBR,2020-06-29,3728
United Kingdom,GBR,2020-06-30,3361
United Kingdom,GBR,2020-07-01,3176
United Kingdom,GBR,2020-07-02,3058
United Kingdom,GBR,2020-07-03,2924
United Kingdom,GBR,2020-07-04,2782
United Kingdom,GBR,2020-07-05,2721
United Kingdom,GBR,2020-07-06,2678
United Kingdom,GBR,2020-07-07,2576
United Kingdom,GBR,2020-07-08,2432
United Kingdom,GBR,2020-07-09,2323
United Kingdom,GBR,2020-07-10,2224
United Kingdom,GBR,2020-07-11,2098
United Kingdom,GBR,2020-07-12,2082
United Kingdom,GBR,2020-07-13,2096
United Kingdom,GBR,2020-07-14,1977
United Kingdom,GBR,2020-07-15,1957
United Kingdom,GBR,2020-07-16,1814
United Kingdom,GBR,2020-07-17,1791
United Kingdom,GBR,2020-07-18,1760
United Kingdom,GBR,2020-07-19,1725
United Kingdom,GBR,2020-07-20,1715
United Kingdom,GBR,2020-07-21,1617
United Kingdom,GBR,2020-07-22,1732
United Kingdom,GBR,2020-07-23,1522
United Kingdom,GBR,2020-07-24,1435
United Kingdom,GBR,2020-07-25,1384
United Kingdom,GBR,2020-07-26,1366
United Kingdom,GBR,2020-07-27,1353
United Kingdom,GBR,2020-07-28,1352
United Kingdom,GBR,2020-07-29,1332
United Kingdom,GBR,2020-07-30,1298
United Kingdom,GBR,2020-07-31,1249
United Kingdom,GBR,2020-08-01,1272
United Kingdom,GBR,2020-08-02,1235
United Kingdom,GBR,2020-08-03,1234
United Kingdom,GBR,2020-08-04,1198
United Kingdom,GBR,2020-08-05,1184
United Kingdom,GBR,2020-08-06,1137
United Kingdom,GBR,2020-08-07,1078
United Kingdom,GBR,2020-08-08,1010
United Kingdom,GBR,2020-08-09,965
United Kingdom,GBR,2020-08-10,1070
United Kingdom,GBR,2020-08-11,1021
United Kingdom,GBR,2020-08-12,986
United Kingdom,GBR,2020-08-13,989
United Kingdom,GBR,2020-08-14,977
United Kingdom,GBR,2020-08-15,956
United Kingdom,GBR,2020-08-16,961
United Kingdom,GBR,2020-08-17,960
United Kingdom,GBR,2020-08-18,927
United Kingdom,GBR,2020-08-19,896
United Kingdom,GBR,2020-08-20,877
United Kingdom,GBR,2020-08-21,852
United Kingdom,GBR,2020-08-22,907
United Kingdom,GBR,2020-08-23,834
United Kingdom,GBR,2020-08-24,840
United Kingdom,GBR,2020-08-25,809
United Kingdom,GBR,2020-08-26,798
United Kingdom,GBR,2020-08-27,805
United Kingdom,GBR,2020-08-28,781
United Kingdom,GBR,2020-08-29,794
United Kingdom,GBR,2020-08-30,790
United Kingdom,GBR,2020-08-31,810
United Kingdom,GBR,2020-09-01,814
United Kingdom,GBR,2020-09-02,759
United Kingdom,GBR,2020-09-03,773
United Kingdom,GBR,2020-09-04,777
United Kingdom,GBR,2020-09-05,770
United Kingdom,GBR,2020-09-06,775
United Kingdom,GBR,2020-09-07,861
United Kingdom,GBR,2020-09-08,850
United Kingdom,GBR,2020-09-09,880
United Kingdom,GBR,2020-09-10,900
United Kingdom,GBR,2020-09-11,721
United Kingdom,GBR,2020-09-12,760
United Kingdom,GBR,2020-09-13,788
United Kingdom,GBR,2020-09-14,928
United Kingdom,GBR,2020-09-15,1013
United Kingdom,GBR,2020-09-16,1056
United Kingdom,GBR,2020-09-17,1110
United Kingdom,GBR,2020-09-18,1169
United Kingdom,GBR,2020-09-19,1248
United Kingdom,GBR,2020-09-20,1343
United Kingdom,GBR,2020-09-21,1497
