Entity,Code,Day,Weekly cases
United Kingdom,GBR,2020-01-09,0
United Kingdom,GBR,2020-01-10,0
United Kingdom,GBR,2020-01-11,0
United Kingdom,GBR,2020-01-12,0
United Kingdom,GBR,2020-01-13,0
United Kingdom,GBR,2020-01-14,0
United Kingdom,GBR,2020-01-15,0
United Kingdom,GBR,2020-01-16,0
United Kingdom,GBR,2020-01-17,0
United Kingdom,GBR,2020-01-18,0
United Kingdom,GBR,2020-01-19,0
United Kingdom,GBR,2020-01-20,0
United Kingdom,GBR,2020-01-21,0
United Kingdom,GBR,2020-01-22,0
United Kingdom,GBR,2020-01-23,0
United Kingdom,GBR,2020-01-24,0
United Kingdom,GBR,2020-01-25,0
United Kingdom,GBR,2020-01-26,0
United Kingdom,GBR,2020-01-27,0
United Kingdom,GBR,2020-01-28,0
United Kingdom,GBR,2020-01-29,0
United Kingdom,GBR,2020-01-30,0
United Kingdom,GBR,2020-01-31,0
United Kingdom,GBR,2020-02-01,1
United Kingdom,GBR,2020-02-02,1
United Kingdom,GBR,2020-02-03,1
United Kingdom,GBR,2020-02-04,2
United Kingdom,GBR,2020-02-05,20
United Kingdom,GBR,2020-02-06,20
United Kingdom,GBR,2020-02-07,21
United Kingdom,GBR,2020-02-08,20
United Kingdom,GBR,2020-02-09,20
United Kingdom,GBR,2020-02-10,23
United Kingdom,GBR,2020-02-11,23
United Kingdom,GBR,2020-02-12,6
United Kingdom,GBR,2020-02-13,10
United Kingdom,GBR,2020-02-14,10
United Kingdom,GBR,2020-02-15,11
United Kingdom,GBR,2020-02-16,11
United Kingdom,GBR,2020-02-17,8
United Kingdom,GBR,2020-02-18,7
United Kingdom,GBR,2020-02-19,7
United Kingdom,GBR,2020-02-20,3
United Kingdom,GBR,2020-02-21,2
United Kingdom,GBR,2020-02-22,1
United Kingdom,GBR,2020-02-23,3
United Kingdom,GBR,2020-02-24,3
United Kingdom,GBR,2020-02-25,9
United Kingdom,GBR,2020-02-26,10
United Kingdom,GBR,2020-02-27,13
United Kingdom,GBR,2020-02-28,15
United Kingdom,GBR,2020-02-29,23
United Kingdom,GBR,2020-03-01,33
United Kingdom,GBR,2020-03-02,37
United Kingdom,GBR,2020-03-03,51
United Kingdom,GBR,2020-03-04,90
United Kingdom,GBR,2020-03-05,145
United Kingdom,GBR,2020-03-06,199
United Kingdom,GBR,2020-03-07,240
United Kingdom,GBR,2020-03-08,311
United Kingdom,GBR,2020-03-09,375
United Kingdom,GBR,2020-03-10,410
United Kingdom,GBR,2020-03-11,517
United Kingdom,GBR,2020-03-12,724
United Kingdom,GBR,2020-03-13,1071
United Kingdom,GBR,2020-03-14,1506
United Kingdom,GBR,2020-03-15,1901
United Kingdom,GBR,2020-03-16,2185
United Kingdom,GBR,2020-03-17,2571
United Kingdom,GBR,2020-03-18,3025
United Kingdom,GBR,2020-03-19,3543
United Kingdom,GBR,2020-03-20,4124
United Kingdom,GBR,2020-03-21,4680
United Kingdom,GBR,2020-03-22,5455
United Kingdom,GBR,2020-03-23,6286
United Kingdom,GBR,2020-03-24,7206
United Kingdom,GBR,2020-03-25,8893
United Kingdom,GBR,2020-03-26,10463
United Kingdom,GBR,2020-03-27,12145
United Kingdom,GBR,2020-03-28,14144
United Kingdom,GBR,2020-03-29,16046
United Kingdom,GBR,2020-03-30,17637
United Kingdom,GBR,2020-03-31,19094
United Kingdom,GBR,2020-04-01,21000
United Kingdom,GBR,2020-04-02,23110
United Kingdom,GBR,2020-04-03,25335
United Kingdom,GBR,2020-04-04,27120
United Kingdom,GBR,2020-04-05,28818
United Kingdom,GBR,2020-04-06,30020
United Kingdom,GBR,2020-04-07,30758
United Kingdom,GBR,2020-04-08,31836
United Kingdom,GBR,2020-04-09,32850
United Kingdom,GBR,2020-04-10,33105
United Kingdom,GBR,2020-04-11,33156
United Kingdom,GBR,2020-04-12,32630
United Kingdom,GBR,2020-04-13,32239
United Kingdom,GBR,2020-04-14,32190
United Kingdom,GBR,2020-04-15,31120
United Kingdom,GBR,2020-04-16,29978
United Kingdom,GBR,2020-04-17,29902
United Kingdom,GBR,2020-04-18,30319
United Kingdom,GBR,2020-04-19,30969
United Kingdom,GBR,2020-04-20,32128
United Kingdom,GBR,2020-04-21,32502
United Kingdom,GBR,2020-04-22,32740
United Kingdom,GBR,2020-04-23,33201
United Kingdom,GBR,2020-04-24,33648
United Kingdom,GBR,2020-04-25,33522
United Kingdom,GBR,2020-04-26,33506
United Kingdom,GBR,2020-04-27,32519
United Kingdom,GBR,2020-04-28,32114
United Kingdom,GBR,2020-04-29,32412
United Kingdom,GBR,2020-04-30,32335
United Kingdom,GBR,2020-05-01,32251
United Kingdom,GBR,2020-05-02,32046
United Kingdom,GBR,2020-05-03,31851
United Kingdom,GBR,2020-05-04,31352
United Kingdom,GBR,2020-05-05,30878
United Kingdom,GBR,2020-05-06,29537
United Kingdom,GBR,2020-05-07,28504
United Kingdom,GBR,2020-05-08,26903
United Kingdom,GBR,2020-05-09,25729
United Kingdom,GBR,2020-05-10,24027
United Kingdom,GBR,2020-05-11,22939
United Kingdom,GBR,2020-05-12,22274
United Kingdom,GBR,2020-05-13,22488
United Kingdom,GBR,2020-05-14,22212
United Kingdom,GBR,2020-05-15,21710
United Kingdom,GBR,2020-05-16,20553
United Kingdom,GBR,2020-05-17,20019
United Kingdom,GBR,2020-05-18,19931
United Kingdom,GBR,2020-05-19,19431
United Kingdom,GBR,2020-05-20,18400
United Kingdom,GBR,2020-05-21,18053
