Entity,Code,Day,Weekly deaths
United Kingdom,GBR,2020-01-09,0
United Kingdom,GBR,2020-01-10,0
United Kingdom,GBR,2020-01-11,0
United Kingdom,GBR,2020-01-12,0
United Kingdom,GBR,2020-01-13,0
United Kingdom,GBR,2020-01-14,0
United Kingdom,GBR,2020-01-15,0
United Kingdom,GBR,2020-01-16,0
United Kingdom,GBR,2020-01-17,0
United Kingdom,GBR,2020-01-18,0
United Kingdom,GBR,2020-01-19,0
United Kingdom,GBR,2020-01-20,0
United Kingdom,GBR,2020-01-21,0
United Kingdom,GBR,2020-01-22,0
United Kingdom,GBR,2020-01-23,0
United Kingdom,GBR,2020-01-24,0
United Kingdom,GBR,2020-01-25,0
United Kingdom,GBR,2020-01-26,0
United Kingdom,GBR,2020-01-27,0
United Kingdom,GBR,2020-01-28,0
United Kingdom,GBR,2020-01-29,0
United Kingdom,GBR,2020-01-30,0
United Kingdom,GBR,2020-01-31,0
United Kingdom,GBR,2020-02-01,1
United Kingdom,GBR,2020-02-02,1
United Kingdom,GBR,2020-02-03,1
United Kingdom,GBR,2020-02-04,2
United Kingdom,GBR,2020-02-05,2
United Kingdom,GBR,2020-02-06,2
United Kingdom,GBR,2020-02-07,2
United Kingdom,GBR,2020-02-08,1
United Kingdom,GBR,2020-02-09,1
United Kingdom,GBR,2020-02-10,1
United Kingdom,GBR,2020-02-11,0
United Kingdom,GBR,2020-02-12,0
United Kingdom,GBR,2020-02-13,0
United Kingdom,GBR,2020-02-14,0
United Kingdom,GBR,2020-02-15,0
United Kingdom,GBR,2020-02-16,0
United Kingdom,GBR,2020-02-17,0
United Kingdom,GBR,2020-02-18,0
United Kingdom,GBR,2020-02-19,0
United Kingdom,GBR,2020-02-20,0
United Kingdom,GBR,2020-02-21,0
United Kingdom,GBR,2020-02-22,0
United Kingdom,GBR,2020-02-23,0
United Kingdom,GBR,2020-02-24,1
United Kingdom,GBR,2020-02-25,1
United Kingdom,GBR,2020-02-26,1
United Kingdom,GBR,2020-02-27,1
United Kingdom,GBR,2020-02-28,1
United Kingdom,GBR,2020-02-29,1
United Kingdom,GBR,2020-03-01,1
United Kingdom,GBR,2020-03-02,0
United Kingdom,GBR,2020-03-03,0
United Kingdom,GBR,2020-03-04,1
United Kingdom,GBR,2020-03-05,1
United Kingdom,GBR,2020-03-06,2
United Kingdom,GBR,2020-03-07,4
United Kingdom,GBR,2020-03-08,6
United Kingdom,GBR,2020-03-09,6
United Kingdom,GBR,2020-03-10,8
United Kingdom,GBR,2020-03-11,12
United Kingdom,GBR,2020-03-12,15
United Kingdom,GBR,2020-03-13,21
United Kingdom,GBR,2020-03-14,32
United Kingdom,GBR,2020-03-15,46
United Kingdom,GBR,2020-03-16,67
United Kingdom,GBR,2020-03-17,95
United Kingdom,GBR,2020-03-18,140
United Kingdom,GBR,2020-03-19,195
United Kingdom,GBR,2020-03-20,261
United Kingdom,GBR,2020-03-21,327
United Kingdom,GBR,2020-03-22,429
United Kingdom,GBR,2020-03-23,551
United Kingdom,GBR,2020-03-24,704
United Kingdom,GBR,2020-03-25,860
United Kingdom,GBR,2020-03-26,1065
United Kingdom,GBR,2020-03-27,1329
United Kingdom,GBR,2020-03-28,1660
United Kingdom,GBR,2020-03-29,2005
United Kingdom,GBR,2020-03-30,2378
United Kingdom,GBR,2020-03-31,2780
United Kingdom,GBR,2020-04-01,3284
United Kingdom,GBR,2020-04-02,3848
United Kingdom,GBR,2020-04-03,4433
United Kingdom,GBR,2020-04-04,5029
United Kingdom,GBR,2020-04-05,5622
United Kingdom,GBR,2020-04-06,6252
United Kingdom,GBR,2020-04-07,6886
United Kingdom,GBR,2020-04-08,7344
United Kingdom,GBR,2020-04-09,7809
United Kingdom,GBR,2020-04-10,8346
United Kingdom,GBR,2020-04-11,8711
United Kingdom,GBR,2020-04-12,8974
United Kingdom,GBR,2020-04-13,9190
United Kingdom,GBR,2020-04-14,9347
United Kingdom,GBR,2020-04-15,9409
United Kingdom,GBR,2020-04-16,9369
United Kingdom,GBR,2020-04-17,9185
United Kingdom,GBR,2020-04-18,9134
United Kingdom,GBR,2020-04-19,9082
United Kingdom,GBR,2020-04-20,8908
United Kingdom,GBR,2020-04-21,8654
United Kingdom,GBR,2020-04-22,8583
United Kingdom,GBR,2020-04-23,8413
United Kingdom,GBR,2020-04-24,8239
United Kingdom,GBR,2020-04-25,7956
United Kingdom,GBR,2020-04-26,7693
United Kingdom,GBR,2020-04-27,7423
United Kingdom,GBR,2020-04-28,7195
United Kingdom,GBR,2020-04-29,6902
United Kingdom,GBR,2020-04-30,6620
United Kingdom,GBR,2020-05-01,6336
United Kingdom,GBR,2020-05-02,6079
United Kingdom,GBR,2020-05-03,5860
United Kingdom,GBR,2020-05-04,5647
United Kingdom,GBR,2020-05-05,5414
United Kingdom,GBR,2020-05-06,5224
United Kingdom,GBR,2020-05-07,5066
United Kingdom,GBR,2020-05-08,4876
United Kingdom,GBR,2020-05-09,4725
United Kingdom,GBR,2020-05-10,4508
United Kingdom,GBR,2020-05-11,4342
United Kingdom,GBR,2020-05-12,4174
United Kingdom,GBR,2020-05-13,3925
United Kingdom,GBR,2020-05-14,3724
United Kingdom,GBR,2020-05-15,3551
United Kingdom,GBR,2020-05-16,3387
United Kingdom,GBR,2020-05-17,3240
United Kingdom,GBR,2020-05-18,3120
United Kingdom,GBR,2020-05-19,3004
United Kingdom,GBR,2020-05-20,2984
United Kingdom,GBR,2020-05-21,2914
