Entity,Code,Day,Daily hospital occupancy
Canada,CAN,2020-04-01,820
Canada,CAN,2020-04-02,636
Canada,CAN,2020-04-03,674
Canada,CAN,2020-04-04,747
Canada,CAN,2020-04-05,767
Canada,CAN,2020-04-06,1428
Canada,CAN,2020-04-07,1507
Canada,CAN,2020-04-08,1493
Canada,CAN,2020-04-09,1698
Canada,CAN,2020-04-10,1762
Canada,CAN,2020-04-11,1846
Canada,CAN,2020-04-12,1891
Canada,CAN,2020-04-13,1941
Canada,CAN,2020-04-14,2004
Canada,CAN,2020-04-15,2112
Canada,CAN,2020-04-16,2131
Canada,CAN,2020-04-17,2189
Canada,CAN,2020-04-18,2213
Canada,CAN,2020-04-19,2290
Canada,CAN,2020-04-20,2365
Canada,CAN,2020-04-21,2467
Canada,CAN,2020-04-22,2582
Canada,CAN,2020-04-23,2615
Canada,CAN,2020-04-24,2660
Canada,CAN,2020-04-25,2668
Canada,CAN,2020-04-26,2717
Canada,CAN,2020-04-27,2817
Canada,CAN,2020-04-28,2905
Canada,CAN,2020-04-29,2947
Canada,CAN,2020-04-30,2922
Canada,CAN,2020-05-01,2937
Canada,CAN,2020-05-02,2927
Canada,CAN,2020-05-03,2981
Canada,CAN,2020-05-04,3032
Canada,CAN,2020-05-05,3037
Canada,CAN,2020-05-06,3013
Canada,CAN,2020-05-07,3016
Canada,CAN,2020-05-08,2951
Canada,CAN,2020-05-09,2967
Canada,CAN,2020-05-10,2970
Canada,CAN,2020-05-11,3016
Canada,CAN,2020-05-12,3005
Canada,CAN,2020-05-13,2972
Canada,CAN,2020-05-14,2910
Canada,CAN,2020-05-15,2873
Canada,CAN,2020-05-16,2806
Canada,CAN,2020-05-17,2742
Canada,CAN,2020-05-18,2819
Canada,CAN,2020-05-19,2790
Canada,CAN,2020-05-20,2728
Canada,CAN,2020-05-21,2648
Canada,CAN,2020-05-22,2569
Canada,CAN,2020-05-23,2482
Canada,CAN,2020-05-24,2428
Canada,CAN,2020-05-25,2466
Canada,CAN,2020-05-26,2427
Canada,CAN,2020-05-27,2385
Canada,CAN,2020-05-28,2306
Canada,CAN,2020-05-29,2228
Canada,CAN,2020-05-30,2156
Canada,CAN,2020-05-31,2168
Canada,CAN,2020-06-01,2150
Canada,CAN,2020-06-02,2107
Canada,CAN,2020-06-03,2036
Canada,CAN,2020-06-04,1874
Canada,CAN,2020-06-05,1793
Canada,CAN,2020-06-06,1724
Canada,CAN,2020-06-07,1695
Canada,CAN,2020-06-08,1674
Canada,CAN,2020-06-09,1623
Canada,CAN,2020-06-10,1587
Canada,CAN,2020-06-11,1528
Canada,CAN,2020-06-12,1449
Canada,CAN,2020-06-13,1370
Canada,CAN,2020-06-14,1328
Canada,CAN,2020-06-15,1313
Canada,CAN,2020-06-16,1228
Canada,CAN,2020-06-17,1169
Canada,CAN,2020-06-18,1119
Canada,CAN,2020-06-19,1034
Canada,CAN,2020-06-20,977
Canada,CAN,2020-06-21,985
Canada,CAN,2020-06-22,970
Canada,CAN,2020-06-23,946
Canada,CAN,2020-06-24,906
Canada,CAN,2020-06-25,899
Canada,CAN,2020-06-26,852
Canada,CAN,2020-06-27,824
Canada,CAN,2020-06-28,800
Canada,CAN,2020-06-29,797
Canada,CAN,2020-06-30,724
Canada,CAN,2020-07-01,715
Canada,CAN,2020-07-02,696
Canada,CAN,2020-07-03,672
Canada,CAN,2020-07-04,657
Canada,CAN,2020-07-05,649
Canada,CAN,2020-07-06,651
Canada,CAN,2020-07-07,631
Canada,CAN,2020-07-08,603
Canada,CAN,2020-07-09,605
Canada,CAN,2020-07-10,582
Canada,CAN,2020-07-11,587
Canada,CAN,2020-07-12,585
Canada,CAN,2020-07-13,562
Canada,CAN,2020-07-14,555
Canada,CAN,2020-07-15,553
Canada,CAN,2020-07-16,547
Canada,CAN,2020-07-17,536
Canada,CAN,2020-07-18,537
Canada,CAN,2020-07-19,536
Canada,CAN,2020-07-20,560
Canada,CAN,2020-07-21,586
Canada,CAN,2020-07-22,565
Canada,CAN,2020-07-23,494
Canada,CAN,2020-07-24,484
Canada,CAN,2020-07-25,461
Canada,CAN,2020-07-26,473
Canada,CAN,2020-07-27,473
Canada,CAN,2020-07-28,458
Canada,CAN,2020-07-29,444
Canada,CAN,2020-07-30,424
Canada,CAN,2020-07-31,402
Canada,CAN,2020-08-01,382
Canada,CAN,2020-08-02,383
Canada,CAN,2020-08-03,378
Canada,CAN,2020-08-04,381
Canada,CAN,2020-08-05,364
Canada,CAN,2020-08-06,341
Canada,CAN,2020-08-07,339
Canada,CAN,2020-08-08,328
Canada,CAN,2020-08-09,332
Canada,CAN,2020-08-10,315
Canada,CAN,2020-08-11,306
Canada,CAN,2020-08-12,298
Canada,CAN,2020-08-13,293
Canada,CAN,2020-08-14,296
Canada,CAN,2020-08-15,288
Canada,CAN,2020-08-16,293
Canada,CAN,2020-08-17,282
Canada,CAN,2020-08-18,279
Canada,CAN,2020-08-19,276
Canada,CAN,2020-08-20,271
Canada,CAN,2020-08-21,270
Canada,CAN,2020-08-22,251
Canada,CAN,2020-08-23,253
Canada,CAN,2020-08-24,260
Canada,CAN,2020-08-25,272
Canada,CAN,2020-08-26,286
Canada,CAN,2020-08-27,273
Canada,CAN,2020-08-28,265
Canada,CAN,2020-08-29,260
Canada,CAN,2020-08-30,278
Canada,CAN,2020-08-31,286
Canada,CAN,2020-09-01,293
Canada,CAN,2020-09-02,299
Canada,CAN,2020-09-03,287
Canada,CAN,2020-09-04,287
Canada,CAN,2020-09-05,256
Canada,CAN,2020-09-06,258
Canada,CAN,2020-09-07,259
Canada,CAN,2020-09-08,290
Canada,CAN,2020-09-09,303
Canada,CAN,2020-09-10,306
