Entity,Code,Day,Weekly cases
Brazil,BRA,2020-01-09,0
Brazil,BRA,2020-01-10,0
Brazil,BRA,2020-01-11,0
Brazil,BRA,2020-01-12,0
Brazil,BRA,2020-01-13,0
Brazil,BRA,2020-01-14,0
Brazil,BRA,2020-01-15,0
Brazil,BRA,2020-01-16,0
Brazil,BRA,2020-01-17,0
Brazil,BRA,2020-01-18,0
Brazil,BRA,2020-01-19,0
Brazil,BRA,2020-01-20,0
Brazil,BRA,2020-01-21,0
Brazil,BRA,2020-01-22,0
Brazil,BRA,2020-01-23,0
Brazil,BRA,2020-01-24,0
Brazil,BRA,2020-01-25,0
Brazil,BRA,2020-01-26,0
Brazil,BRA,2020-01-27,0
Brazil,BRA,2020-01-28,0
Brazil,BRA,2020-01-29,0
Brazil,BRA,2020-01-30,0
Brazil,BRA,2020-01-31,0
Brazil,BRA,2020-02-01,0
Brazil,BRA,2020-02-02,0
Brazil,BRA,2020-02-03,0
Brazil,BRA,2020-02-04,0
Brazil,BRA,2020-02-05,0
Brazil,BRA,2020-02-06,0
Brazil,BRA,2020-02-07,0
Brazil,BRA,2020-02-08,0
Brazil,BRA,2020-02-09,0
Brazil,BRA,2020-02-10,0
Brazil,BRA,2020-02-11,0
Brazil,BRA,2020-02-12,0
Brazil,BRA,2020-02-13,0
Brazil,BRA,2020-02-14,0
Brazil,BRA,2020-02-15,0
Brazil,BRA,2020-02-16,0
Brazil,BRA,2020-02-17,0
Brazil,BRA,2020-02-18,0
Brazil,BRA,2020-02-19,0
Brazil,BRA,2020-02-20,0
Brazil,BRA,2020-02-21,0
Brazil,BRA,2020-02-22,0
Brazil,BRA,2020-02-23,0
Brazil,BRA,2020-02-24,0
Brazil,BRA,2020-02-25,0
Brazil,BRA,2020-02-26,0
Brazil,BRA,2020-02-27,1
Brazil,BRA,2020-02-28,1
Brazil,BRA,2020-02-29,1
Brazil,BRA,2020-03-01,1
Brazil,BRA,2020-03-02,2
Brazil,BRA,2020-03-03,2
Brazil,BRA,2020-03-04,2
Brazil,BRA,2020-03-05,1
Brazil,BRA,2020-03-06,2
Brazil,BRA,2020-03-07,7
Brazil,BRA,2020-03-08,12
Brazil,BRA,2020-03-09,17
Brazil,BRA,2020-03-10,23
Brazil,BRA,2020-03-11,23
Brazil,BRA,2020-03-12,32
Brazil,BRA,2020-03-13,57
Brazil,BRA,2020-03-14,69
Brazil,BRA,2020-03-15,71
Brazil,BRA,2020-03-16,102
Brazil,BRA,2020-03-17,175
Brazil,BRA,2020-03-18,209
Brazil,BRA,2020-03-19,257
Brazil,BRA,2020-03-20,368
Brazil,BRA,2020-03-21,351
Brazil,BRA,2020-03-22,820
Brazil,BRA,2020-03-23,783
Brazil,BRA,2020-03-24,1346
Brazil,BRA,2020-03-25,1657
Brazil,BRA,2020-03-26,1910
Brazil,BRA,2020-03-27,2005
Brazil,BRA,2020-03-28,2487
Brazil,BRA,2020-03-29,2513
Brazil,BRA,2020-03-30,2999
Brazil,BRA,2020-03-31,2710
Brazil,BRA,2020-04-01,2688
Brazil,BRA,2020-04-02,3516
Brazil,BRA,2020-04-03,4403
Brazil,BRA,2020-04-04,4995
Brazil,BRA,2020-04-05,5639
Brazil,BRA,2020-04-06,6375
Brazil,BRA,2020-04-07,6874
Brazil,BRA,2020-04-08,7477
Brazil,BRA,2020-04-09,8000
Brazil,BRA,2020-04-10,9091
Brazil,BRA,2020-04-11,9947
Brazil,BRA,2020-04-12,10582
Brazil,BRA,2020-04-13,10449
Brazil,BRA,2020-04-14,11039
Brazil,BRA,2020-04-15,11374
Brazil,BRA,2020-04-16,11545
Brazil,BRA,2020-04-17,12393
Brazil,BRA,2020-04-18,12568
Brazil,BRA,2020-04-19,14044
Brazil,BRA,2020-04-20,15872
Brazil,BRA,2020-04-21,16485
Brazil,BRA,2020-04-22,17151
Brazil,BRA,2020-04-23,17817
Brazil,BRA,2020-04-24,17437
Brazil,BRA,2020-04-25,19067
Brazil,BRA,2020-04-26,19313
Brazil,BRA,2020-04-27,21910
Brazil,BRA,2020-04-28,23234
Brazil,BRA,2020-04-29,25920
Brazil,BRA,2020-04-30,28807
Brazil,BRA,2020-05-01,32405
Brazil,BRA,2020-05-02,35888
Brazil,BRA,2020-05-03,38594
Brazil,BRA,2020-05-04,38050
Brazil,BRA,2020-05-05,39259
Brazil,BRA,2020-05-06,41279
Brazil,BRA,2020-05-07,42829
Brazil,BRA,2020-05-08,47056
Brazil,BRA,2020-05-09,49726
Brazil,BRA,2020-05-10,53739
Brazil,BRA,2020-05-11,59380
Brazil,BRA,2020-05-12,61552
Brazil,BRA,2020-05-13,60551
Brazil,BRA,2020-05-14,62874
Brazil,BRA,2020-05-15,63756
Brazil,BRA,2020-05-16,67812
Brazil,BRA,2020-05-17,72895
Brazil,BRA,2020-05-18,77203
Brazil,BRA,2020-05-19,78381
Brazil,BRA,2020-05-20,85889
Brazil,BRA,2020-05-21,94039
Brazil,BRA,2020-05-22,102605
Brazil,BRA,2020-05-23,107169
Brazil,BRA,2020-05-24,112667
Brazil,BRA,2020-05-25,114256
Brazil,BRA,2020-05-26,122131
Brazil,BRA,2020-05-27,120678
Brazil,BRA,2020-05-28,119594
Brazil,BRA,2020-05-29,120242
Brazil,BRA,2020-05-30,128151
Brazil,BRA,2020-05-31,134276
Brazil,BRA,2020-06-01,151042
Brazil,BRA,2020-06-02,151638
Brazil,BRA,2020-06-03,151549
Brazil,BRA,2020-06-04,164161
Brazil,BRA,2020-06-05,172195
Brazil,BRA,2020-06-06,176703
Brazil,BRA,2020-06-07,180605
Brazil,BRA,2020-06-08,174406
Brazil,BRA,2020-06-09,176909
Brazil,BRA,2020-06-10,180965
Brazil,BRA,2020-06-11,184120
Brazil,BRA,2020-06-12,188400
Brazil,BRA,2020-06-13,187887
Brazil,BRA,2020-06-14,183039
Brazil,BRA,2020-06-15,177668
Brazil,BRA,2020-06-16,175866
Brazil,BRA,2020-06-17,180859
Brazil,BRA,2020-06-18,183686
Brazil,BRA,2020-06-19,182961
Brazil,BRA,2020-06-20,175314
Brazil,BRA,2020-06-21,204103
Brazil,BRA,2020-06-22,217065
Brazil,BRA,2020-06-23,217414
Brazil,BRA,2020-06-24,218199
Brazil,BRA,2020-06-25,222717
Brazil,BRA,2020-06-26,233254
Brazil,BRA,2020-06-27,249972
Brazil,BRA,2020-06-28,242061
Brazil,BRA,2020-06-29,246088
Brazil,BRA,2020-06-30,259105
Brazil,BRA,2020-07-01,261725
Brazil,BRA,2020-07-02,256135
Brazil,BRA,2020-07-03,260122
Brazil,BRA,2020-07-04,268744
Brazil,BRA,2020-07-05,264107
Brazil,BRA,2020-07-06,263337
Brazil,BRA,2020-07-07,258912
Brazil,BRA,2020-07-08,255089
Brazil,BRA,2020-07-09,266548
Brazil,BRA,2020-07-10,264407
Brazil,BRA,2020-07-11,258921
Brazil,BRA,2020-07-12,261746
Brazil,BRA,2020-07-13,262846
Brazil,BRA,2020-07-14,261626
Brazil,BRA,2020-07-15,261683
Brazil,BRA,2020-07-16,258235
