Entity,Code,Day,Weekly deaths
Brazil,BRA,2020-01-09,0
Brazil,BRA,2020-01-10,0
Brazil,BRA,2020-01-11,0
Brazil,BRA,2020-01-12,0
Brazil,BRA,2020-01-13,0
Brazil,BRA,2020-01-14,0
Brazil,BRA,2020-01-15,0
Brazil,BRA,2020-01-16,0
Brazil,BRA,2020-01-17,0
Brazil,BRA,2020-01-18,0
Brazil,BRA,2020-01-19,0
Brazil,BRA,2020-01-20,0
Brazil,BRA,2020-01-21,0
Brazil,BRA,2020-01-22,0
Brazil,BRA,2020-01-23,0
Brazil,BRA,2020-01-24,0
Brazil,BRA,2020-01-25,0
Brazil,BRA,2020-01-26,0
Brazil,BRA,2020-01-27,0
Brazil,BRA,2020-01-28,0
Brazil,BRA,2020-01-29,0
Brazil,BRA,2020-01-30,0
Brazil,BRA,2020-01-31,0
Brazil,BRA,2020-02-01,0
Brazil,BRA,2020-02-02,0
Brazil,BRA,2020-02-03,0
Brazil,BRA,2020-02-04,0
Brazil,BRA,2020-02-05,0
Brazil,BRA,2020-02-06,0
Brazil,BRA,2020-02-07,0
Brazil,BRA,2020-02-08,0
Brazil,BRA,2020-02-09,0
Brazil,BRA,2020-02-10,0
Brazil,BRA,2020-02-11,0
Brazil,BRA,2020-02-12,0
Brazil,BRA,2020-02-13,0
Brazil,BRA,2020-02-14,0
Brazil,BRA,2020-02-15,0
Brazil,BRA,2020-02-16,0
Brazil,BRA,2020-02-17,0
Brazil,BRA,2020-02-18,0
Brazil,BRA,2020-02-19,0
Brazil,BRA,2020-02-20,0
Brazil,BRA,2020-02-21,0
Brazil,BRA,2020-02-22,0
Brazil,BRA,2020-02-23,0
Brazil,BRA,2020-02-24,0
Brazil,BRA,2020-02-25,0
Brazil,BRA,2020-02-26,0
Brazil,BRA,2020-02-27,0
Brazil,BRA,2020-02-28,0
Brazil,BRA,2020-02-29,0
Brazil,BRA,2020-03-01,0
Brazil,BRA,2020-03-02,0
Brazil,BRA,2020-03-03,0
Brazil,BRA,2020-03-04,0
Brazil,BRA,2020-03-05,0
Brazil,BRA,2020-03-06,0
Brazil,BRA,2020-03-07,0
Brazil,BRA,2020-03-08,0
Brazil,BRA,2020-03-09,0
Brazil,BRA,2020-03-10,0
Brazil,BRA,2020-03-11,0
Brazil,BRA,2020-03-12,0
Brazil,BRA,2020-03-13,0
Brazil,BRA,2020-03-14,0
Brazil,BRA,2020-03-15,0
Brazil,BRA,2020-03-16,0
Brazil,BRA,2020-03-17,0
Brazil,BRA,2020-03-18,0
Brazil,BRA,2020-03-19,1
Brazil,BRA,2020-03-20,4
Brazil,BRA,2020-03-21,4
Brazil,BRA,2020-03-22,11
Brazil,BRA,2020-03-23,11
Brazil,BRA,2020-03-24,25
Brazil,BRA,2020-03-25,34
Brazil,BRA,2020-03-26,45
Brazil,BRA,2020-03-27,53
Brazil,BRA,2020-03-28,73
Brazil,BRA,2020-03-29,81
Brazil,BRA,2020-03-30,103
Brazil,BRA,2020-03-31,111
Brazil,BRA,2020-04-01,125
Brazil,BRA,2020-04-02,155
Brazil,BRA,2020-04-03,184
Brazil,BRA,2020-04-04,222
Brazil,BRA,2020-04-05,267
Brazil,BRA,2020-04-06,318
Brazil,BRA,2020-04-07,350
Brazil,BRA,2020-04-08,394
Brazil,BRA,2020-04-09,466
Brazil,BRA,2020-04-10,559
Brazil,BRA,2020-04-11,642
Brazil,BRA,2020-04-12,697
Brazil,BRA,2020-04-13,692
Brazil,BRA,2020-04-14,737
Brazil,BRA,2020-04-15,775
Brazil,BRA,2020-04-16,865
Brazil,BRA,2020-04-17,936
Brazil,BRA,2020-04-18,983
Brazil,BRA,2020-04-19,1085
Brazil,BRA,2020-04-20,1223
Brazil,BRA,2020-04-21,1239
Brazil,BRA,2020-04-22,1247
Brazil,BRA,2020-04-23,1209
Brazil,BRA,2020-04-24,1170
Brazil,BRA,2020-04-25,1389
Brazil,BRA,2020-04-26,1529
Brazil,BRA,2020-04-27,1669
Brazil,BRA,2020-04-28,1743
Brazil,BRA,2020-04-29,1968
Brazil,BRA,2020-04-30,2276
Brazil,BRA,2020-05-01,2560
Brazil,BRA,2020-05-02,2588
Brazil,BRA,2020-05-03,2659
Brazil,BRA,2020-05-04,2734
Brazil,BRA,2020-05-05,2820
Brazil,BRA,2020-05-06,2778
Brazil,BRA,2020-05-07,2904
Brazil,BRA,2020-05-08,3070
Brazil,BRA,2020-05-09,3245
Brazil,BRA,2020-05-10,3568
Brazil,BRA,2020-05-11,3877
Brazil,BRA,2020-05-12,4098
Brazil,BRA,2020-05-13,4198
Brazil,BRA,2020-05-14,4479
Brazil,BRA,2020-05-15,4613
Brazil,BRA,2020-05-16,4847
Brazil,BRA,2020-05-17,4920
Brazil,BRA,2020-05-18,5006
Brazil,BRA,2020-05-19,4995
Brazil,BRA,2020-05-20,5273
Brazil,BRA,2020-05-21,5571
Brazil,BRA,2020-05-22,5710
Brazil,BRA,2020-05-23,6054
Brazil,BRA,2020-05-24,6231
Brazil,BRA,2020-05-25,6380
Brazil,BRA,2020-05-26,6548
Brazil,BRA,2020-05-27,6681
Brazil,BRA,2020-05-28,6541
Brazil,BRA,2020-05-29,6739
Brazil,BRA,2020-05-30,6707
Brazil,BRA,2020-05-31,6830
Brazil,BRA,2020-06-01,6821
Brazil,BRA,2020-06-02,6648
Brazil,BRA,2020-06-03,6464
Brazil,BRA,2020-06-04,6687
Brazil,BRA,2020-06-05,6950
Brazil,BRA,2020-06-06,7267
Brazil,BRA,2020-06-07,7148
Brazil,BRA,2020-06-08,7096
Brazil,BRA,2020-06-09,7141
Brazil,BRA,2020-06-10,7197
Brazil,BRA,2020-06-11,7207
Brazil,BRA,2020-06-12,7132
Brazil,BRA,2020-06-13,6898
Brazil,BRA,2020-06-14,6802
Brazil,BRA,2020-06-15,6790
Brazil,BRA,2020-06-16,6877
Brazil,BRA,2020-06-17,6825
Brazil,BRA,2020-06-18,6835
Brazil,BRA,2020-06-19,6830
Brazil,BRA,2020-06-20,6829
Brazil,BRA,2020-06-21,7126
Brazil,BRA,2020-06-22,7256
Brazil,BRA,2020-06-23,7285
Brazil,BRA,2020-06-24,7312
Brazil,BRA,2020-06-25,7404
Brazil,BRA,2020-06-26,7320
Brazil,BRA,2020-06-27,7223
Brazil,BRA,2020-06-28,7007
Brazil,BRA,2020-06-29,7094
Brazil,BRA,2020-06-30,7005
Brazil,BRA,2020-07-01,7043
Brazil,BRA,2020-07-02,6949
Brazil,BRA,2020-07-03,6802
Brazil,BRA,2020-07-04,6913
Brazil,BRA,2020-07-05,7213
Brazil,BRA,2020-07-06,7195
Brazil,BRA,2020-07-07,7245
Brazil,BRA,2020-07-08,7173
Brazil,BRA,2020-07-09,7147
Brazil,BRA,2020-07-10,7332
Brazil,BRA,2020-07-11,7300
Brazil,BRA,2020-07-12,7224
Brazil,BRA,2020-07-13,7204
Brazil,BRA,2020-07-14,7233
Brazil,BRA,2020-07-15,7346
Brazil,BRA,2020-07-16,7392
Brazil,BRA,2020-07-17,7402
